날짜,6호선,역이름,타는인원,내린 인원
20190326,6호선,봉화산(서울의료원),12230,10896
20190326,6호선,화랑대(서울여대입구),16741,12906
20190326,6호선,태릉입구,6875,8408
20190326,6호선,석계,16188,16506
20190326,6호선,돌곶이,10154,9708
20190326,6호선,상월곡(한국과학기술연구원),8149,7815
20190326,6호선,월곡(동덕여대),16555,15806
20190326,6호선,고려대(종암),12349,12307
20190326,6호선,안암(고대병원앞),19149,19212
20190326,6호선,보문,9111,8423
20190326,6호선,창신,4666,3989
20190326,6호선,동묘앞,10326,10757
20190326,6호선,신당,10642,11277
20190326,6호선,청구,4539,5026
20190326,6호선,약수,4747,4634
20190326,6호선,버티고개,3067,2795
20190326,6호선,한강진,8863,10107
20190326,6호선,이태원,14359,15392
20190326,6호선,녹사평(용산구청),6563,6634
20190326,6호선,삼각지,8203,6799
20190326,6호선,효창공원앞,9228,8882
20190326,6호선,공덕,22916,22517
20190326,6호선,대흥(서강대앞),11731,12401
20190326,6호선,광흥창(서강),11618,11279
20190326,6호선,상수,12426,13752
20190326,6호선,합정,18656,20477
20190326,6호선,망원,16718,17100
20190326,6호선,마포구청,19221,15825
20190326,6호선,월드컵경기장(성산),37710,45871
20190326,6호선,디지털미디어시티,18265,18305
20190326,6호선,증산(명지대앞),12435,11920
20190326,6호선,새절(신사),17019,15973
20190326,6호선,구산,9618,7110
20190326,6호선,연신내,3,0
20190326,6호선,독바위,3260,3518
20190326,6호선,불광,5974,5836
20190326,6호선,역촌,4676,5618
20190326,6호선,응암,21456,21133
