날짜,3호선,역이름,타는인원,내린 인원
20190326,3호선,오금,8065,7187
20190326,3호선,경찰병원,9464,9517
20190326,3호선,가락시장,11909,11573
20190326,3호선,수서,20468,20239
20190326,3호선,일원,12391,12452
20190326,3호선,대청,12458,11261
20190326,3호선,학여울,2044,2107
20190326,3호선,대치,14180,14097
20190326,3호선,도곡,7052,6898
20190326,3호선,매봉,14444,13736
20190326,3호선,양재(서초구청),49857,53175
20190326,3호선,남부터미널(예술의전당),38757,40279
20190326,3호선,교대(법원.검찰청),19219,12858
20190326,3호선,고속터미널,53949,49836
20190326,3호선,잠원,7521,7371
20190326,3호선,신사,35716,38271
20190326,3호선,압구정,39163,42516
20190326,3호선,옥수,11395,11734
20190326,3호선,금호,10185,9323
20190326,3호선,약수,16976,16663
20190326,3호선,동대입구,14519,16659
20190326,3호선,충무로,1,0
20190326,3호선,을지로3가,13153,13736
20190326,3호선,종로3가,12885,15147
20190326,3호선,안국,28544,29950
20190326,3호선,경복궁(정부서울청사),28036,27750
20190326,3호선,독립문,9624,9996
20190326,3호선,무악재,4915,5137
20190326,3호선,홍제,23481,22364
20190326,3호선,녹번,16938,14767
20190326,3호선,불광,21832,23512
20190326,3호선,연신내,47945,45324
20190326,3호선,구파발,24222,22136
20190326,3호선,지축,1405,1556
