날짜,5호선,역이름,타는인원,내린 인원
20190326,5호선,마천,6254,6102
20190326,5호선,거여,9405,8804
20190326,5호선,개롱,8183,8357
20190326,5호선,오금,4655,4642
20190326,5호선,방이,8685,8949
20190326,5호선,올림픽공원(한국체대),5687,5043
20190326,5호선,둔촌동,10176,10330
20190326,5호선,상일동,15558,12982
20190326,5호선,고덕,11898,11475
20190326,5호선,명일,9746,10188
20190326,5호선,굽은다리(강동구민회관앞),11054,10456
20190326,5호선,길동,8982,9236
20190326,5호선,강동,23326,20185
20190326,5호선,천호(풍납토성),21461,22924
20190326,5호선,광나루(장신대),17497,15898
20190326,5호선,아차산(어린이대공원후문),17201,16556
20190326,5호선,군자(능동),13083,14247
20190326,5호선,장한평,21421,21236
20190326,5호선,답십리,19643,17863
20190326,5호선,마장,7551,7459
20190326,5호선,왕십리(성동구청),5629,6333
20190326,5호선,행당,10190,9031
20190326,5호선,신금호,7964,7961
20190326,5호선,청구,5080,4581
20190326,5호선,동대문역사문화공원,3597,4080
20190326,5호선,을지로4가,6044,6643
20190326,5호선,종로3가,16651,16735
20190326,5호선,광화문(세종문화회관),41348,43724
20190326,5호선,서대문,23531,24082
20190326,5호선,충정로(경기대입구),5856,5910
20190326,5호선,애오개,9096,9158
20190326,5호선,공덕,17618,18705
20190326,5호선,마포,17434,17790
20190326,5호선,여의나루,11707,11789
20190326,5호선,여의도,30669,32871
20190326,5호선,신길,4006,4594
20190326,5호선,영등포시장,11148,11757
20190326,5호선,영등포구청,4558,4666
20190326,5호선,양평,8217,8125
20190326,5호선,오목교(목동운동장앞),27535,29695
20190326,5호선,목동,22417,24139
20190326,5호선,신정(은행정),16920,13728
20190326,5호선,까치산,35382,33307
20190326,5호선,화곡,35233,32427
20190326,5호선,우장산,18789,18705
20190326,5호선,발산,21791,21675
20190326,5호선,마곡,8209,7487
20190326,5호선,송정,11016,10323
20190326,5호선,김포공항,8127,6880
20190326,5호선,개화산,7152,6756
20190326,5호선,방화,8550,8183
