날짜,2호선,역이름,타는인원,내린 인원
20190326,2호선,용두(동대문구청),2693,2830
20190326,2호선,신정네거리,11381,11772
20190326,2호선,양천구청,8841,9300
20190326,2호선,도림천,1507,1721
20190326,2호선,신설동,4257,4293
20190326,2호선,신답,1904,2109
20190326,2호선,용답,3339,3488
20190326,2호선,충정로(경기대입구),13529,14386
20190326,2호선,아현,13166,12930
20190326,2호선,이대,26283,27789
20190326,2호선,신촌,51718,52730
20190326,2호선,홍대입구,78082,81562
20190326,2호선,합정,37128,39996
20190326,2호선,당산,26863,29273
20190326,2호선,영등포구청,27677,27987
20190326,2호선,문래,24640,24851
20190326,2호선,신도림,64207,63380
20190326,2호선,대림(구로구청),33399,34337
20190326,2호선,구로디지털단지,76191,76559
20190326,2호선,신대방,32747,31411
20190326,2호선,신림,78048,76063
20190326,2호선,봉천,29091,26803
20190326,2호선,서울대입구(관악구청),61501,59230
20190326,2호선,낙성대,35288,34648
20190326,2호선,사당,48652,52849
20190326,2호선,방배,27316,28160
20190326,2호선,서초,27496,27878
20190326,2호선,교대(법원.검찰청),45497,51915
20190326,2호선,강남,110394,111249
20190326,2호선,역삼,60910,67809
20190326,2호선,선릉,68774,60696
20190326,2호선,삼성(무역센터),66795,69035
20190326,2호선,종합운동장,12822,14573
20190326,2호선,잠실새내,27634,27411
20190326,2호선,잠실(송파구청),85906,83479
20190326,2호선,잠실나루,20320,19648
20190326,2호선,강변(동서울터미널),43664,41862
20190326,2호선,구의(광진구청),28742,27942
20190326,2호선,건대입구,46540,49408
20190326,2호선,성수,35637,38797
20190326,2호선,뚝섬,22182,23516
20190326,2호선,한양대,17722,21167
20190326,2호선,왕십리(성동구청),22723,17477
20190326,2호선,상왕십리,17134,16308
20190326,2호선,신당,17529,18069
20190326,2호선,동대문역사문화공원,19536,22437
20190326,2호선,을지로4가,14602,14075
20190326,2호선,을지로3가,27830,27833
20190326,2호선,을지로입구,58117,58895
20190326,2호선,시청,32179,31666
