날짜,7호선,역이름,타는인원,내린 인원
20190326,7호선,부평구청,14431,11490
20190326,7호선,굴포천,10773,11369
20190326,7호선,삼산체육관,6303,5410
20190326,7호선,상동,16508,17323
20190326,7호선,부천시청,14480,14463
20190326,7호선,신중동,17374,17163
20190326,7호선,춘의,11137,10891
20190326,7호선,부천종합운동장,5894,4943
20190326,7호선,까치울,9069,8624
20190326,7호선,온수(성공회대입구),14351,13776
20190326,7호선,천왕,11177,10336
20190326,7호선,광명사거리,30812,29828
20190326,7호선,철산,28097,28686
20190326,7호선,가산디지털단지,51100,51464
20190326,7호선,남구로,19512,20937
20190326,7호선,대림(구로구청),10949,11003
20190326,7호선,신풍,13670,12805
20190326,7호선,보라매,11945,12115
20190326,7호선,신대방삼거리,20142,19327
20190326,7호선,장승배기,12964,12481
20190326,7호선,상도,14654,14735
20190326,7호선,숭실대입구(살피재),21389,21542
20190326,7호선,남성,14287,13390
20190326,7호선,이수,19245,19016
20190326,7호선,내방,17487,18191
20190326,7호선,고속터미널,19611,18199
20190326,7호선,반포,7624,7409
20190326,7호선,논현,23272,25066
20190326,7호선,학동,26821,29161
20190326,7호선,강남구청,18002,19928
20190326,7호선,청담,24217,27587
20190326,7호선,뚝섬유원지,9339,8928
20190326,7호선,건대입구,18106,18818
20190326,7호선,어린이대공원(세종대),20801,21829
20190326,7호선,군자(능동),17259,13284
20190326,7호선,중곡,11988,11205
20190326,7호선,용마산,7364,6921
20190326,7호선,사가정,18740,18575
20190326,7호선,면목,20367,19903
20190326,7호선,상봉(시외버스터미널),19686,18792
20190326,7호선,중화,13505,13326
20190326,7호선,먹골,12033,11714
20190326,7호선,태릉입구,11213,10716
20190326,7호선,공릉(서울과학기술대),16030,15795
20190326,7호선,하계,23920,23159
20190326,7호선,중계,19046,17446
20190326,7호선,노원,23660,25158
20190326,7호선,마들,14391,13541
20190326,7호선,수락산,15553,15098
20190326,7호선,도봉산,11491,13658
20190326,7호선,장암,2854,885
